subjects,roi,condition,trial,TR3,TR4,TR5,TR6
at160601,nacc,neutral,trial11,-0.011689,0.02707,-0.035445,-0.15372
at160601,nacc,neutral,trial12,-0.086533,0.52492,-0.12618,-0.22517
at160601,nacc,neutral,trial13,0.20669,0.12369,-0.50196,-0.28218
at160601,nacc,neutral,trial14,0.13632,0.13132,0.069217,0.42925
at160601,nacc,neutral,trial15,-0.24321,-0.3374,0.051897,-0.23559
at160601,nacc,neutral,trial16,-0.047164,0.20249,-0.24233,-0.48667
at160601,nacc,neutral,trial17,0.31743,0.497,0.18137,-0.033731
at160601,nacc,neutral,trial18,5.7817e-4,-0.33851,-0.47541,0.055291
at160601,nacc,neutral,trial2,0.022956,-0.44437,-0.36492,-0.29021
at160601,nacc,neutral,trial3,-0.30904,0.61105,-1.7706,-0.57467
at160601,nacc,neutral,trial4,0.06823,0.010599,0.2717,0.20149
at160601,nacc,neutral,trial5,0.13222,-0.17049,0.10247,-0.11708
at160601,nacc,neutral,trial6,-0.083273,-0.058392,-0.075479,0.070335
at160601,nacc,neutral,trial7,-0.23927,-0.10167,0.18222,-0.16431
at160601,nacc,neutral,trial8,0.060384,-0.049084,-0.042152,-0.43011
at160601,nacc,neutral,trial9,-0.25732,0.20335,0.11133,-0.22621
cg160715,nacc,drugs,trial1,0.42614,0.1509,-0.1856,0.12346
cg160715,nacc,drugs,trial10,-0.27538,-0.54726,-0.36399,-0.2772
cg160715,nacc,drugs,trial11,-0.49048,-0.53334,-0.60582,-0.48691
cg160715,nacc,drugs,trial12,0.19816,0.26391,-0.056127,0.30306
cg160715,nacc,drugs,trial13,0.19406,0.063939,-0.22174,-0.18115
cg160715,nacc,drugs,trial14,0.79118,0.4079,0.035479,0.088899
cg160715,nacc,drugs,trial15,-0.14376,0.36741,0.6908,0.49522
cg160715,nacc,drugs,trial16,0.14772,-0.069434,-0.25353,-0.23722
cg160715,nacc,drugs,trial17,-0.63454,-0.32272,-0.30837,0.15038
cg160715,nacc,drugs,trial18,-0.45548,-0.46553,-0.26796,-0.12371
cg160715,nacc,drugs,trial2,-0.52912,-0.52424,-0.59832,-0.4172
cg160715,nacc,drugs,trial3,0.20118,0.03642,-0.047463,0.073609
cg160715,nacc,drugs,trial4,0.20707,0.42962,0.18277,0.0031101
cg160715,nacc,drugs,trial5,-0.093236,-0.015409,0.066059,0.46996
cg160715,nacc,drugs,trial6,0.22357,0.0532,-0.17085,-0.23096
cg160715,nacc,drugs,trial7,-0.062795,-0.52901,-0.52979,-0.44252
cg160715,nacc,drugs,trial8,-0.067292,0.21734,0.39586,0.32339
cg160715,nacc,drugs,trial9,0.06257,-0.073918,0.044647,-0.21352
cg160715,nacc,food,trial1,-0.10374,-0.19954,-0.21664,-0.52
cg160715,nacc,food,trial10,0.6145,0.34025,0.45399,0.60967
cg160715,nacc,food,trial11,0.4018,0.36758,0.38181,0.37378
cg160715,nacc,food,trial12,1.27,0.70989,-0.036461,-0.25969
cg160715,nacc,food,trial13,0.34589,0.19656,0.068352,0.013358
cg160715,nacc,food,trial14,-0.13976,0.054819,0.098695,0.084303
